Date,Country,Sector,Supply_Chain_Disruption_Index,Estimated_GDP_Impact_MUSD,Avg_Delivery_Delay_Days,Input_Cost_Increase_Pct,Inventory_Stress_Score,Supplier_Diversification_Score,Conflict_Phase
2024-10-01,South Korea,Electronics,14.4,0.0,1.1,0.0,2.7,4.2,Initial Escalation
2024-10-01,South Korea,Automotive,15.4,0.0,1.0,0.0,2.9,4.2,Initial Escalation
2024-10-01,South Korea,Textiles,7.0,0.0,0.9,0.0,1.4,4.2,Initial Escalation
2024-10-01,South Korea,Chemicals,21.3,0.0,1.1,0.0,4.0,4.2,Initial Escalation
2024-10-01,Australia,Energy,5.4,0.0,1.0,0.0,1.2,8.8,Initial Escalation
2024-10-01,Australia,Manufacturing,4.5,0.0,1.1,0.0,0.7,8.8,Initial Escalation
2024-10-01,Australia,Agriculture,2.4,0.0,0.9,0.0,0.4,8.8,Initial Escalation
2024-10-01,Australia,Pharmaceuticals,2.2,0.0,1.0,0.0,0.3,8.8,Initial Escalation
2024-10-01,Australia,Electronics,3.4,0.0,1.0,0.0,0.5,8.8,Initial Escalation
2024-10-01,Australia,Automotive,3.3,0.0,1.1,0.0,0.7,8.8,Initial Escalation
2024-10-01,Australia,Textiles,1.9,0.0,1.0,0.0,0.3,8.8,Initial Escalation
2024-10-01,Australia,Chemicals,4.0,0.0,1.1,0.0,0.8,8.8,Initial Escalation
2024-10-01,Indonesia,Energy,7.0,0.0,0.9,0.0,1.3,8.6,Initial Escalation
2024-10-01,Indonesia,Manufacturing,5.0,0.0,1.1,0.0,0.9,8.6,Initial Escalation
2024-10-01,Indonesia,Agriculture,2.6,0.0,1.1,0.0,0.5,8.6,Initial Escalation
2024-10-01,Indonesia,Pharmaceuticals,2.6,0.0,1.0,0.0,0.4,8.6,Initial Escalation
2024-10-01,Indonesia,Electronics,3.1,0.0,1.0,0.0,0.6,8.6,Initial Escalation
2024-10-01,Indonesia,Automotive,4.4,0.0,1.0,0.0,0.7,8.6,Initial Escalation
2024-10-01,Indonesia,Textiles,2.1,0.0,0.9,0.0,0.4,8.6,Initial Escalation
2024-10-01,Indonesia,Chemicals,4.9,0.0,0.9,0.0,1.0,8.6,Initial Escalation
2024-10-01,Thailand,Energy,24.2,0.0,1.1,0.0,4.3,5.6,Initial Escalation
2024-10-01,Thailand,Manufacturing,13.5,0.0,1.0,0.0,2.5,5.6,Initial Escalation
2024-10-01,Thailand,Agriculture,7.4,0.0,1.1,0.0,1.5,5.6,Initial Escalation
2024-10-01,Thailand,Pharmaceuticals,8.0,0.0,0.9,0.0,1.2,5.6,Initial Escalation
2024-10-01,Thailand,Electronics,11.2,0.0,1.1,0.0,2.1,5.6,Initial Escalation
2024-10-01,Thailand,Automotive,11.5,0.0,1.0,0.0,2.3,5.6,Initial Escalation
2024-10-01,Thailand,Textiles,6.4,0.0,1.1,0.0,1.0,5.6,Initial Escalation
2024-10-01,Thailand,Chemicals,14.8,0.0,1.0,0.0,2.6,5.6,Initial Escalation
2024-10-01,Vietnam,Energy,9.2,0.0,1.1,0.0,1.5,8.2,Initial Escalation
2024-10-01,Vietnam,Manufacturing,5.5,0.0,0.9,0.0,1.2,8.2,Initial Escalation
2024-10-01,Vietnam,Agriculture,2.9,0.0,1.1,0.0,0.6,8.2,Initial Escalation
2024-10-01,Vietnam,Pharmaceuticals,3.0,0.0,0.9,0.0,0.6,8.2,Initial Escalation
2024-10-01,Vietnam,Electronics,3.7,0.0,1.0,0.0,0.7,8.2,Initial Escalation
2024-10-01,Vietnam,Automotive,6.0,0.0,1.0,0.0,0.9,8.2,Initial Escalation
2024-10-01,Vietnam,Textiles,2.8,0.0,1.0,0.0,0.4,8.2,Initial Escalation
2024-10-01,Vietnam,Chemicals,7.1,0.0,1.1,0.0,1.1,8.2,Initial Escalation
2024-10-01,Philippines,Energy,24.9,0.0,1.0,0.0,4.7,5.2,Initial Escalation
2024-10-01,Philippines,Manufacturing,17.5,0.0,1.0,0.0,2.9,5.2,Initial Escalation
2024-10-01,Philippines,Agriculture,8.8,0.0,0.9,0.0,1.7,5.2,Initial Escalation
2024-10-01,Philippines,Pharmaceuticals,8.3,0.0,1.0,0.0,1.3,5.2,Initial Escalation
2024-10-01,Philippines,Electronics,13.3,0.0,0.9,0.0,2.3,5.2,Initial Escalation
2024-10-01,Philippines,Automotive,14.0,0.0,0.9,0.0,2.4,5.2,Initial Escalation
2024-10-01,Philippines,Textiles,7.5,0.0,1.1,0.0,1.3,5.2,Initial Escalation
2024-10-01,Philippines,Chemicals,19.0,0.0,1.1,0.0,3.2,5.2,Initial Escalation
2024-10-01,Malaysia,Energy,4.4,0.0,1.0,0.0,0.9,9.0,Initial Escalation
2024-10-01,Malaysia,Manufacturing,3.1,0.0,1.0,0.0,0.6,9.0,Initial Escalation
2024-10-01,Malaysia,Agriculture,1.6,0.0,1.0,0.0,0.3,9.0,Initial Escalation
2024-10-01,Malaysia,Pharmaceuticals,1.4,0.0,0.9,0.0,0.3,9.0,Initial Escalation
2024-10-01,Malaysia,Electronics,2.6,0.0,1.1,0.0,0.5,9.0,Initial Escalation
2024-10-01,Malaysia,Automotive,3.1,0.0,1.1,0.0,0.5,9.0,Initial Escalation
2024-10-01,Malaysia,Textiles,1.1,0.0,0.9,0.0,0.2,9.0,Initial Escalation
2024-10-01,Malaysia,Chemicals,3.3,0.0,1.1,0.0,0.6,9.0,Initial Escalation
2024-10-01,Pakistan,Energy,33.4,0.0,1.0,0.0,5.5,4.0,Initial Escalation
2024-10-01,Pakistan,Manufacturing,17.5,0.0,1.0,0.0,3.8,4.0,Initial Escalation
2024-10-01,Pakistan,Agriculture,13.3,0.0,0.9,0.0,2.1,4.0,Initial Escalation
2024-10-01,Pakistan,Pharmaceuticals,9.7,0.0,1.0,0.0,1.8,4.0,Initial Escalation
2024-10-01,Pakistan,Electronics,15.4,0.0,1.0,0.0,2.6,4.0,Initial Escalation
2024-10-01,Pakistan,Automotive,17.6,0.0,1.0,0.0,3.0,4.0,Initial Escalation
2024-10-01,Pakistan,Textiles,9.3,0.0,0.9,0.0,1.4,4.0,Initial Escalation
2024-10-01,Pakistan,Chemicals,23.2,0.0,1.0,0.0,3.6,4.0,Initial Escalation
2024-10-01,Bangladesh,Energy,15.5,0.0,1.0,0.0,2.8,6.6,Initial Escalation
2024-10-01,Bangladesh,Manufacturing,9.7,0.0,0.9,0.0,1.8,6.6,Initial Escalation
2024-10-01,Bangladesh,Agriculture,5.8,0.0,0.9,0.0,1.1,6.6,Initial Escalation
2024-10-01,Bangladesh,Pharmaceuticals,5.9,0.0,0.9,0.0,1.0,6.6,Initial Escalation
2024-10-01,Bangladesh,Electronics,8.2,0.0,1.1,0.0,1.5,6.6,Initial Escalation
2024-10-01,Bangladesh,Automotive,9.8,0.0,0.9,0.0,1.8,6.6,Initial Escalation
2024-10-01,Bangladesh,Textiles,4.3,0.0,1.0,0.0,0.9,6.6,Initial Escalation
2024-10-01,Bangladesh,Chemicals,12.0,0.0,0.9,0.0,2.3,6.6,Initial Escalation
2024-10-01,Taiwan,Energy,26.3,0.0,1.1,0.0,5.7,3.8,Initial Escalation
2024-10-01,Taiwan,Manufacturing,18.5,0.0,1.1,0.0,3.7,3.8,Initial Escalation
2024-10-01,Taiwan,Agriculture,12.3,0.0,1.1,0.0,2.3,3.8,Initial Escalation
2024-10-01,Taiwan,Pharmaceuticals,11.1,0.0,0.9,0.0,1.8,3.8,Initial Escalation
2024-10-01,Taiwan,Electronics,13.7,0.0,1.0,0.0,3.0,3.8,Initial Escalation
2024-10-01,Taiwan,Automotive,20.0,0.0,1.1,0.0,3.2,3.8,Initial Escalation
2024-10-01,Taiwan,Textiles,8.0,0.0,1.1,0.0,1.5,3.8,Initial Escalation
2024-10-01,Taiwan,Chemicals,23.4,0.0,1.0,0.0,4.3,3.8,Initial Escalation
2024-10-01,Singapore,Energy,27.9,0.0,0.9,0.0,6.2,3.6,Initial Escalation
2024-10-01,Singapore,Manufacturing,19.0,0.0,1.0,0.0,4.1,3.6,Initial Escalation
2024-10-01,Singapore,Agriculture,11.2,0.0,1.0,0.0,2.2,3.6,Initial Escalation
2024-10-01,Singapore,Pharmaceuticals,11.6,0.0,1.1,0.0,1.9,3.6,Initial Escalation
2024-10-01,Singapore,Electronics,14.9,0.0,1.0,0.0,2.6,3.6,Initial Escalation
2024-10-01,Singapore,Automotive,20.0,0.0,1.0,0.0,3.6,3.6,Initial Escalation
2024-10-01,Singapore,Textiles,9.4,0.0,0.9,0.0,1.7,3.6,Initial Escalation
2024-10-01,Singapore,Chemicals,21.0,0.0,1.0,0.0,4.4,3.6,Initial Escalation
2024-10-01,New Zealand,Energy,10.0,0.0,1.1,0.0,1.9,7.8,Initial Escalation
2024-10-01,New Zealand,Manufacturing,8.1,0.0,1.0,0.0,1.3,7.8,Initial Escalation
2024-10-01,New Zealand,Agriculture,4.4,0.0,0.9,0.0,0.8,7.8,Initial Escalation
2024-10-01,New Zealand,Pharmaceuticals,4.0,0.0,1.1,0.0,0.7,7.8,Initial Escalation
2024-10-01,New Zealand,Electronics,6.3,0.0,1.1,0.0,1.1,7.8,Initial Escalation
2024-10-01,New Zealand,Automotive,7.6,0.0,1.0,0.0,1.2,7.8,Initial Escalation
2024-10-01,New Zealand,Textiles,3.2,0.0,1.0,0.0,0.6,7.8,Initial Escalation
2024-10-01,New Zealand,Chemicals,8.9,0.0,0.9,0.0,1.5,7.8,Initial Escalation
2024-10-01,Sri Lanka,Energy,36.9,0.0,0.9,0.0,6.4,2.8,Initial Escalation
2024-10-01,Sri Lanka,Manufacturing,24.2,0.0,1.0,0.0,4.0,2.8,Initial Escalation
2024-10-01,Sri Lanka,Agriculture,12.6,0.0,1.0,0.0,2.6,2.8,Initial Escalation
2024-10-01,Sri Lanka,Pharmaceuticals,12.9,0.0,1.0,0.0,2.1,2.8,Initial Escalation
2024-10-01,Sri Lanka,Electronics,20.0,0.0,1.1,0.0,3.5,2.8,Initial Escalation
2024-10-01,Sri Lanka,Automotive,18.8,0.0,1.1,0.0,3.6,2.8,Initial Escalation
2024-10-01,Sri Lanka,Textiles,8.9,0.0,1.0,0.0,1.8,2.8,Initial Escalation
2024-10-01,Sri Lanka,Chemicals,25.3,0.0,1.0,0.0,4.9,2.8,Initial Escalation
2024-10-01,Myanmar,Energy,13.1,0.0,1.0,0.0,2.6,7.2,Initial Escalation
2024-10-01,Myanmar,Manufacturing,7.9,0.0,1.0,0.0,1.5,7.2,Initial Escalation
2024-10-01,Myanmar,Agriculture,4.7,0.0,1.1,0.0,1.0,7.2,Initial Escalation
2024-10-01,Myanmar,Pharmaceuticals,4.6,0.0,1.0,0.0,0.8,7.2,Initial Escalation
2024-10-01,Myanmar,Electronics,6.1,0.0,1.0,0.0,1.3,7.2,Initial Escalation
2024-10-01,Myanmar,Automotive,8.7,0.0,1.0,0.0,1.6,7.2,Initial Escalation
2024-10-01,Myanmar,Textiles,3.5,0.0,1.1,0.0,0.8,7.2,Initial Escalation
2024-10-01,Myanmar,Chemicals,9.2,0.0,0.9,0.0,1.7,7.2,Initial Escalation
2024-10-01,Cambodia,Energy,16.6,0.0,1.1,0.0,2.8,6.8,Initial Escalation
2024-10-01,Cambodia,Manufacturing,9.4,0.0,1.0,0.0,1.9,6.8,Initial Escalation
2024-10-01,Cambodia,Agriculture,6.1,0.0,1.1,0.0,1.1,6.8,Initial Escalation
2024-10-01,Cambodia,Pharmaceuticals,5.2,0.0,1.1,0.0,0.9,6.8,Initial Escalation
2024-10-01,Cambodia,Electronics,8.1,0.0,0.9,0.0,1.6,6.8,Initial Escalation
2024-10-01,Cambodia,Automotive,11.0,0.0,1.1,0.0,1.9,6.8,Initial Escalation
2024-10-01,Cambodia,Textiles,4.9,0.0,1.1,0.0,0.9,6.8,Initial Escalation
2024-10-01,Cambodia,Chemicals,11.9,0.0,1.0,0.0,2.1,6.8,Initial Escalation
2024-10-01,Laos,Energy,4.3,0.0,1.1,0.0,0.7,9.2,Initial Escalation
2024-10-01,Laos,Manufacturing,2.6,0.0,0.9,0.0,0.5,9.2,Initial Escalation
2024-10-01,Laos,Agriculture,1.4,0.0,0.9,0.0,0.3,9.2,Initial Escalation
2024-10-01,Laos,Pharmaceuticals,1.2,0.0,1.1,0.0,0.2,9.2,Initial Escalation
2024-10-01,Laos,Electronics,2.0,0.0,0.9,0.0,0.4,9.2,Initial Escalation
2024-10-01,Laos,Automotive,2.2,0.0,0.9,0.0,0.5,9.2,Initial Escalation
2024-10-01,Laos,Textiles,1.0,0.0,1.0,0.0,0.2,9.2,Initial Escalation
2024-10-01,Laos,Chemicals,2.8,0.0,1.1,0.0,0.6,9.2,Initial Escalation
2024-10-01,Mongolia,Energy,2.1,0.0,1.0,0.0,0.4,9.6,Initial Escalation
2024-10-01,Mongolia,Manufacturing,1.3,0.0,1.0,0.0,0.2,9.6,Initial Escalation
2024-10-01,Mongolia,Agriculture,0.8,0.0,0.9,0.0,0.1,9.6,Initial Escalation
2024-10-01,Mongolia,Pharmaceuticals,0.7,0.0,1.1,0.0,0.1,9.6,Initial Escalation
2024-10-01,Mongolia,Electronics,1.1,0.0,1.1,0.0,0.2,9.6,Initial Escalation
2024-10-01,Mongolia,Automotive,1.2,0.0,1.0,0.0,0.2,9.6,Initial Escalation
2024-10-01,Mongolia,Textiles,0.5,0.0,1.0,0.0,0.1,9.6,Initial Escalation
2024-10-01,Mongolia,Chemicals,1.5,0.0,0.9,0.0,0.3,9.6,Initial Escalation
2024-11-01,China,Energy,19.6,0.0,0.9,0.0,3.4,6.5,Initial Escalation
2024-11-01,China,Manufacturing,11.9,0.0,1.0,0.0,2.0,6.5,Initial Escalation
2024-11-01,China,Agriculture,7.0,0.0,1.1,0.0,1.3,6.5,Initial Escalation
2024-11-01,China,Pharmaceuticals,5.7,0.0,0.9,0.0,1.0,6.5,Initial Escalation
2024-11-01,China,Electronics,9.7,0.0,1.0,0.0,1.5,6.5,Initial Escalation
2024-11-01,China,Automotive,9.9,0.0,1.0,0.0,1.9,6.5,Initial Escalation
2024-11-01,China,Textiles,4.5,0.0,1.1,0.0,0.9,6.5,Initial Escalation
2024-11-01,China,Chemicals,12.7,0.0,0.9,0.0,2.3,6.5,Initial Escalation
2024-11-01,India,Energy,23.6,0.0,0.9,0.0,4.4,5.0,Initial Escalation
2024-11-01,India,Manufacturing,15.3,0.0,1.1,0.0,2.7,5.0,Initial Escalation
2024-11-01,India,Agriculture,9.2,0.0,0.9,0.0,1.8,5.0,Initial Escalation
2024-11-01,India,Pharmaceuticals,9.4,0.0,1.1,0.0,1.5,5.0,Initial Escalation
2024-11-01,India,Electronics,11.8,0.0,1.1,0.0,2.1,5.0,Initial Escalation
2024-11-01,India,Automotive,14.3,0.0,1.0,0.0,2.9,5.0,Initial Escalation
2024-11-01,India,Textiles,6.6,0.0,1.0,0.0,1.2,5.0,Initial Escalation
2024-11-01,India,Chemicals,20.3,0.0,0.9,0.0,3.4,5.0,Initial Escalation
2024-11-01,Japan,Energy,31.7,0.0,1.0,0.0,6.4,3.0,Initial Escalation
2024-11-01,Japan,Manufacturing,21.3,0.0,1.1,0.0,4.4,3.0,Initial Escalation
2024-11-01,Japan,Agriculture,13.3,0.0,1.0,0.0,2.5,3.0,Initial Escalation
2024-11-01,Japan,Pharmaceuticals,12.9,0.0,0.9,0.0,2.1,3.0,Initial Escalation
2024-11-01,Japan,Electronics,17.8,0.0,0.9,0.0,3.0,3.0,Initial Escalation
2024-11-01,Japan,Automotive,18.7,0.0,1.1,0.0,3.6,3.0,Initial Escalation
2024-11-01,Japan,Textiles,9.1,0.0,1.0,0.0,1.8,3.0,Initial Escalation
2024-11-01,Japan,Chemicals,22.7,0.0,1.0,0.0,4.9,3.0,Initial Escalation
2024-11-01,South Korea,Energy,30.5,0.0,1.1,0.0,5.0,4.2,Initial Escalation
2024-11-01,South Korea,Manufacturing,20.0,0.0,1.0,0.0,3.1,4.2,Initial Escalation
2024-11-01,South Korea,Agriculture,10.8,0.0,0.9,0.0,2.0,4.2,Initial Escalation
2024-11-01,South Korea,Pharmaceuticals,8.9,0.0,1.0,0.0,1.8,4.2,Initial Escalation
2024-11-01,South Korea,Electronics,14.8,0.0,1.1,0.0,2.4,4.2,Initial Escalation
2024-11-01,South Korea,Automotive,18.0,0.0,1.1,0.0,2.9,4.2,Initial Escalation
2024-11-01,South Korea,Textiles,8.7,0.0,1.1,0.0,1.5,4.2,Initial Escalation
2024-11-01,South Korea,Chemicals,19.6,0.0,1.0,0.0,4.0,4.2,Initial Escalation
2024-11-01,Australia,Energy,5.4,0.0,0.9,0.0,1.1,8.8,Initial Escalation
2024-11-01,Australia,Manufacturing,3.5,0.0,0.9,0.0,0.7,8.8,Initial Escalation
2024-11-01,Australia,Agriculture,2.4,0.0,1.1,0.0,0.4,8.8,Initial Escalation
2024-11-01,Australia,Pharmaceuticals,1.7,0.0,0.9,0.0,0.4,8.8,Initial Escalation
2024-11-01,Australia,Electronics,2.9,0.0,1.0,0.0,0.5,8.8,Initial Escalation
2024-11-01,Australia,Automotive,3.7,0.0,1.0,0.0,0.7,8.8,Initial Escalation
2024-11-01,Australia,Textiles,1.7,0.0,0.9,0.0,0.3,8.8,Initial Escalation
2024-11-01,Australia,Chemicals,3.9,0.0,0.9,0.0,0.7,8.8,Initial Escalation
2024-11-01,Indonesia,Energy,6.5,0.0,0.9,0.0,1.3,8.6,Initial Escalation
2024-11-01,Indonesia,Manufacturing,4.9,0.0,1.0,0.0,0.9,8.6,Initial Escalation
2024-11-01,Indonesia,Agriculture,2.6,0.0,1.1,0.0,0.5,8.6,Initial Escalation
2024-11-01,Indonesia,Pharmaceuticals,2.5,0.0,0.9,0.0,0.5,8.6,Initial Escalation
2024-11-01,Indonesia,Electronics,3.3,0.0,0.9,0.0,0.7,8.6,Initial Escalation
2024-11-01,Indonesia,Automotive,3.9,0.0,1.0,0.0,0.8,8.6,Initial Escalation
2024-11-01,Indonesia,Textiles,2.2,0.0,0.9,0.0,0.3,8.6,Initial Escalation
2024-11-01,Indonesia,Chemicals,4.5,0.0,0.9,0.0,0.9,8.6,Initial Escalation
2024-11-01,Thailand,Energy,22.2,0.0,0.9,0.0,4.2,5.6,Initial Escalation
2024-11-01,Thailand,Manufacturing,15.2,0.0,1.1,0.0,2.4,5.6,Initial Escalation
2024-11-01,Thailand,Agriculture,8.6,0.0,0.9,0.0,1.6,5.6,Initial Escalation
2024-11-01,Thailand,Pharmaceuticals,7.9,0.0,1.0,0.0,1.3,5.6,Initial Escalation
2024-11-01,Thailand,Electronics,9.9,0.0,0.9,0.0,1.8,5.6,Initial Escalation
2024-11-01,Thailand,Automotive,15.2,0.0,1.1,0.0,2.2,5.6,Initial Escalation
2024-11-01,Thailand,Textiles,6.4,0.0,0.9,0.0,1.1,5.6,Initial Escalation
2024-11-01,Thailand,Chemicals,17.6,0.0,1.0,0.0,2.7,5.6,Initial Escalation
2024-11-01,Vietnam,Energy,8.1,0.0,1.0,0.0,1.5,8.2,Initial Escalation
2024-11-01,Vietnam,Manufacturing,5.7,0.0,1.1,0.0,1.0,8.2,Initial Escalation
2024-11-01,Vietnam,Agriculture,3.3,0.0,0.9,0.0,0.6,8.2,Initial Escalation
2024-11-01,Vietnam,Pharmaceuticals,2.9,0.0,1.1,0.0,0.5,8.2,Initial Escalation
2024-11-01,Vietnam,Electronics,5.0,0.0,0.9,0.0,0.8,8.2,Initial Escalation
2024-11-01,Vietnam,Automotive,5.1,0.0,1.0,0.0,1.0,8.2,Initial Escalation
2024-11-01,Vietnam,Textiles,2.5,0.0,1.0,0.0,0.5,8.2,Initial Escalation
2024-11-01,Vietnam,Chemicals,7.1,0.0,1.0,0.0,1.1,8.2,Initial Escalation
2024-11-01,Philippines,Energy,20.2,0.0,1.0,0.0,4.3,5.2,Initial Escalation
2024-11-01,Philippines,Manufacturing,14.3,0.0,1.0,0.0,2.8,5.2,Initial Escalation
2024-11-01,Philippines,Agriculture,8.1,0.0,1.1,0.0,1.7,5.2,Initial Escalation
2024-11-01,Philippines,Pharmaceuticals,8.4,0.0,1.0,0.0,1.3,5.2,Initial Escalation
2024-11-01,Philippines,Electronics,10.6,0.0,1.1,0.0,2.2,5.2,Initial Escalation
2024-11-01,Philippines,Automotive,15.7,0.0,1.0,0.0,2.4,5.2,Initial Escalation
2024-11-01,Philippines,Textiles,6.0,0.0,1.0,0.0,1.1,5.2,Initial Escalation
2024-11-01,Philippines,Chemicals,17.1,0.0,0.9,0.0,3.2,5.2,Initial Escalation
2024-11-01,Malaysia,Energy,5.1,0.0,1.0,0.0,0.8,9.0,Initial Escalation
2024-11-01,Malaysia,Manufacturing,3.1,0.0,1.1,0.0,0.6,9.0,Initial Escalation
2024-11-01,Malaysia,Agriculture,2.1,0.0,0.9,0.0,0.3,9.0,Initial Escalation
2024-11-01,Malaysia,Pharmaceuticals,1.7,0.0,1.1,0.0,0.3,9.0,Initial Escalation
2024-11-01,Malaysia,Electronics,2.5,0.0,1.1,0.0,0.4,9.0,Initial Escalation
2024-11-01,Malaysia,Automotive,2.7,0.0,1.0,0.0,0.6,9.0,Initial Escalation
2024-11-01,Malaysia,Textiles,1.5,0.0,1.0,0.0,0.3,9.0,Initial Escalation
2024-11-01,Malaysia,Chemicals,3.6,0.0,1.1,0.0,0.6,9.0,Initial Escalation
2024-11-01,Pakistan,Energy,27.6,0.0,1.0,0.0,5.2,4.0,Initial Escalation
2024-11-01,Pakistan,Manufacturing,19.7,0.0,0.9,0.0,3.8,4.0,Initial Escalation
2024-11-01,Pakistan,Agriculture,10.5,0.0,0.9,0.0,2.3,4.0,Initial Escalation
2024-11-01,Pakistan,Pharmaceuticals,8.8,0.0,1.0,0.0,1.8,4.0,Initial Escalation
2024-11-01,Pakistan,Electronics,16.0,0.0,0.9,0.0,2.8,4.0,Initial Escalation
2024-11-01,Pakistan,Automotive,18.1,0.0,1.0,0.0,3.5,4.0,Initial Escalation
2024-11-01,Pakistan,Textiles,7.4,0.0,1.1,0.0,1.6,4.0,Initial Escalation
2024-11-01,Pakistan,Chemicals,19.9,0.0,1.1,0.0,3.8,4.0,Initial Escalation
2024-11-01,Bangladesh,Energy,15.6,0.0,1.1,0.0,2.8,6.6,Initial Escalation
2024-11-01,Bangladesh,Manufacturing,10.6,0.0,1.0,0.0,2.1,6.6,Initial Escalation
2024-11-01,Bangladesh,Agriculture,7.2,0.0,1.1,0.0,1.1,6.6,Initial Escalation
2024-11-01,Bangladesh,Pharmaceuticals,6.0,0.0,1.1,0.0,0.9,6.6,Initial Escalation
2024-11-01,Bangladesh,Electronics,9.0,0.0,1.1,0.0,1.6,6.6,Initial Escalation
2024-11-01,Bangladesh,Automotive,8.9,0.0,1.1,0.0,2.0,6.6,Initial Escalation
2024-11-01,Bangladesh,Textiles,4.7,0.0,1.1,0.0,0.8,6.6,Initial Escalation
2024-11-01,Bangladesh,Chemicals,13.1,0.0,1.1,0.0,2.4,6.6,Initial Escalation
2024-11-01,Taiwan,Energy,33.1,0.0,1.0,0.0,5.6,3.8,Initial Escalation
2024-11-01,Taiwan,Manufacturing,20.4,0.0,1.0,0.0,3.5,3.8,Initial Escalation
2024-11-01,Taiwan,Agriculture,11.4,0.0,1.0,0.0,2.2,3.8,Initial Escalation
2024-11-01,Taiwan,Pharmaceuticals,11.2,0.0,1.1,0.0,2.0,3.8,Initial Escalation
2024-11-01,Taiwan,Electronics,17.2,0.0,1.0,0.0,3.0,3.8,Initial Escalation
2024-11-01,Taiwan,Automotive,18.4,0.0,1.1,0.0,3.4,3.8,Initial Escalation
2024-11-01,Taiwan,Textiles,9.1,0.0,1.1,0.0,1.5,3.8,Initial Escalation
2024-11-01,Taiwan,Chemicals,20.3,0.0,1.0,0.0,4.1,3.8,Initial Escalation
2024-11-01,Singapore,Energy,33.3,0.0,1.1,0.0,5.5,3.6,Initial Escalation
2024-11-01,Singapore,Manufacturing,18.9,0.0,1.1,0.0,3.6,3.6,Initial Escalation
2024-11-01,Singapore,Agriculture,12.1,0.0,1.1,0.0,2.2,3.6,Initial Escalation
2024-11-01,Singapore,Pharmaceuticals,11.9,0.0,1.1,0.0,1.9,3.6,Initial Escalation
2024-11-01,Singapore,Electronics,17.4,0.0,0.9,0.0,2.7,3.6,Initial Escalation
2024-11-01,Singapore,Automotive,17.1,0.0,1.0,0.0,3.5,3.6,Initial Escalation
2024-11-01,Singapore,Textiles,7.7,0.0,0.9,0.0,1.5,3.6,Initial Escalation
2024-11-01,Singapore,Chemicals,21.7,0.0,0.9,0.0,4.6,3.6,Initial Escalation
2024-11-01,New Zealand,Energy,10.5,0.0,1.0,0.0,2.1,7.8,Initial Escalation
2024-11-01,New Zealand,Manufacturing,6.6,0.0,1.0,0.0,1.4,7.8,Initial Escalation
