event_id,date_key,conflict_phase_key,incident_type_key,vessel_type_key,flag_state_key,estimated_delay_hours,cargo_volume_impacted_kt,lat,lon,reroute_required
EVT-00082,20241126,1,8,2,8,248.3,214.0,26.8583,56.2581,True
EVT-00083,20241127,1,12,2,9,29.8,478.0,13.1324,43.8746,False
EVT-00084,20241128,1,13,8,3,10.7,115.0,13.083,43.4696,False
EVT-00085,20241128,1,6,5,6,5.7,43.0,11.9507,43.0807,False
EVT-00086,20241130,1,9,8,9,10.9,59.0,30.0173,32.1453,False
EVT-00087,20241202,1,9,8,10,5.1,599.0,-33.5845,18.1823,True
EVT-00088,20241205,1,11,8,9,0.7,458.0,27.2906,55.6126,False
EVT-00089,20241206,1,14,5,2,51.7,465.0,21.4198,94.8561,False
EVT-00090,20241208,1,11,2,9,5.9,14.0,25.9024,57.2896,False
EVT-00091,20241209,1,1,7,1,8.4,69.0,27.2818,81.1223,False
EVT-00092,20241210,1,3,7,2,139.1,599.0,26.3401,56.8114,True
EVT-00093,20241210,1,10,8,4,11.4,17.0,13.3015,43.0486,False
EVT-00094,20241211,1,15,4,4,36.9,142.0,2.6135,102.6708,True
EVT-00095,20241211,1,15,6,10,2.8,213.0,12.0824,43.766,True
EVT-00096,20241211,1,4,6,3,0.8,11.0,29.6651,32.927,False
EVT-00097,20241211,1,5,4,8,2.8,3.0,12.7104,42.3385,False
EVT-00098,20241211,1,5,4,3,31.5,221.0,17.3497,78.0855,False
EVT-00099,20241213,1,1,4,5,9.7,14.0,29.8597,32.8054,False
EVT-00100,20241213,1,13,5,1,7.2,60.0,19.3095,73.4391,False
EVT-00101,20241213,1,2,6,5,6.7,111.0,26.1328,56.5302,False
EVT-00102,20241216,1,3,6,7,3.7,31.0,29.6234,31.5325,True
EVT-00103,20241217,1,15,5,9,81.2,2645.0,-34.9289,18.4177,True
EVT-00104,20241218,1,8,7,3,52.2,413.0,13.4666,42.3837,False
EVT-00105,20241219,1,8,3,7,5.5,72.0,27.9666,95.4573,False
EVT-00106,20241219,1,8,4,9,62.9,380.0,13.3926,43.3919,True
EVT-00107,20241220,1,9,7,1,38.2,384.0,13.6164,42.9519,True
EVT-00108,20241220,1,11,2,5,61.7,181.0,31.2727,31.3076,True
EVT-00109,20241221,1,3,5,2,32.8,45.0,3.3478,102.1093,True
EVT-00110,20241221,1,1,8,3,8.6,203.0,26.5255,56.7862,False
EVT-00111,20241221,1,1,3,6,4.3,15.0,13.7654,43.9546,False
EVT-00112,20241222,1,11,6,8,36.5,65.0,15.8566,69.1859,False
EVT-00113,20241222,1,13,4,4,10.8,78.0,9.7208,101.0644,False
EVT-00114,20241224,1,5,7,3,45.4,326.0,11.978,42.5425,True
EVT-00115,20241224,1,4,6,5,65.9,227.0,3.4934,101.6184,True
EVT-00116,20241227,1,14,3,10,47.5,13.0,30.0122,32.1075,True
EVT-00117,20241227,1,10,1,6,5.3,635.0,9.3939,101.6332,True
EVT-00118,20241228,1,14,3,6,25.4,1832.0,-34.0883,19.282,True
EVT-00119,20241229,1,14,5,10,12.0,291.0,4.7886,108.0822,True
EVT-00120,20241230,1,14,3,4,3.0,70.0,27.1481,57.1064,False
EVT-00121,20241230,1,10,7,1,12.7,32.0,12.5711,43.5192,False
EVT-00122,20241231,1,12,6,10,1.6,11.0,31.9762,81.7997,False
EVT-00123,20241231,1,8,1,7,34.3,503.0,26.5762,56.505,True
EVT-00124,20250101,2,11,7,9,76.9,872.0,30.6182,31.8948,True
EVT-00125,20250103,2,13,2,4,20.2,23.0,-33.9603,19.0198,False
EVT-00126,20250104,2,13,4,3,18.7,218.0,26.6563,55.4417,True
EVT-00127,20250104,2,11,6,4,2.5,93.0,25.8536,57.1012,False
EVT-00128,20250104,2,3,5,5,3.7,1.0,12.9103,43.0276,False
EVT-00129,20250105,2,7,4,8,26.8,429.0,26.3287,56.6791,True
EVT-00130,20250105,2,12,3,8,11.3,65.0,-33.5062,18.4047,True
EVT-00131,20250105,2,9,1,5,5.8,104.0,30.4413,32.1164,False
EVT-00132,20250106,2,5,7,6,153.4,127.0,31.1305,32.9659,True
EVT-00133,20250107,2,8,5,6,48.5,154.0,-33.664,17.8358,False
EVT-00134,20250107,2,5,3,5,5.2,5.0,12.2631,43.1056,False
EVT-00135,20250107,2,12,1,5,12.9,29.0,11.9689,43.5855,False
EVT-00136,20250107,2,8,5,9,133.0,280.0,12.4916,42.3234,True
EVT-00137,20250108,2,11,2,6,32.1,2972.0,13.7963,42.4753,True
EVT-00138,20250109,2,10,2,5,6.0,91.0,12.5423,44.0708,False
EVT-00139,20250109,2,12,5,2,2.6,65.0,29.9019,31.6734,False
EVT-00140,20250109,2,14,1,8,25.2,51.0,25.6027,55.7211,True
EVT-00141,20250110,2,11,7,7,0.1,69.0,12.4535,42.6716,False
EVT-00142,20250111,2,2,2,9,18.1,58.0,-35.1201,18.3194,False
EVT-00143,20250111,2,4,5,1,7.7,239.0,12.2261,42.8222,False
EVT-00144,20250112,2,9,1,3,16.6,225.0,13.2425,43.9037,True
EVT-00145,20250112,2,13,2,2,4.4,26.0,26.7755,55.57,False
EVT-00146,20250112,2,8,4,4,22.2,16.0,13.1203,43.4897,False
EVT-00147,20250112,2,3,4,5,38.5,579.0,13.3138,43.8457,True
EVT-00148,20250113,2,11,1,9,69.5,648.0,13.6984,42.8204,True
EVT-00149,20250113,2,1,2,2,9.3,27.0,29.6542,32.4033,False
EVT-00150,20250115,2,14,5,4,0.3,46.0,26.4291,56.5614,False
EVT-00151,20250115,2,9,6,7,9.7,1346.0,26.6605,43.4899,True
EVT-00152,20250115,2,5,3,5,4.3,14.0,26.3594,55.837,False
EVT-00153,20250115,2,15,1,1,22.8,14.0,12.8365,43.3572,False
EVT-00154,20250116,2,6,5,5,17.1,5024.0,30.6986,33.2399,True
EVT-00155,20250117,2,15,5,5,0.5,44.0,30.1796,32.1928,False
EVT-00156,20250118,2,11,4,3,108.4,2.0,26.945,56.7661,True
EVT-00157,20250120,2,12,2,6,2.7,35.0,27.2612,57.1964,False
EVT-00158,20250120,2,8,7,8,35.7,2.0,12.1729,42.3239,False
EVT-00159,20250120,2,12,4,3,4.8,14.0,-33.9291,17.6004,False
EVT-00160,20250121,2,9,5,8,10.3,4.0,12.2815,43.8985,False
EVT-00161,20250121,2,6,5,2,46.7,349.0,26.5081,55.3969,True
EVT-00162,20250121,2,1,8,4,5.0,493.0,26.6855,55.6769,False
EVT-00163,20250122,2,6,1,9,4.6,22.0,31.4403,31.9792,True
EVT-00164,20250123,2,2,4,3,3.8,151.0,-34.0068,17.7156,True
EVT-00165,20250124,2,5,8,10,2.1,35.0,29.0913,62.1694,False
EVT-00166,20250125,2,9,2,3,13.6,113.0,26.1458,56.4479,False
EVT-00167,20250125,2,4,2,2,16.2,156.0,2.4708,102.5249,True
EVT-00168,20250126,2,15,4,6,0.5,33.0,13.5179,43.0779,False
EVT-00169,20250128,2,14,7,5,2.5,1276.0,31.1568,31.3155,True
EVT-00170,20250129,2,15,3,3,5.6,23.0,27.1128,57.1105,False
EVT-00171,20250130,2,14,5,8,42.6,48.0,27.3281,55.5305,True
EVT-00172,20250130,2,14,6,6,30.8,64.0,27.2842,56.44,True
EVT-00173,20250131,2,9,1,3,548.8,793.0,30.7468,32.4383,True
EVT-00174,20250131,2,11,8,3,5.8,72.0,30.9215,32.0164,False
EVT-00175,20250201,2,8,5,6,145.5,3498.0,20.4794,119.8197,True
EVT-00176,20250201,2,9,5,6,34.9,107.0,12.8396,43.6958,True
EVT-00177,20250201,2,6,1,1,127.6,61.0,26.196,116.1505,True
EVT-00178,20250201,2,7,6,1,60.0,166.0,26.7759,55.9268,True
EVT-00179,20250202,2,14,2,1,54.7,98.0,19.8592,49.379,True
EVT-00180,20250203,2,12,6,1,16.1,357.0,12.5485,43.218,False
EVT-00181,20250203,2,9,7,9,2.8,209.0,12.7667,42.8897,False
EVT-00182,20250204,2,3,1,2,1.9,27.0,13.4971,44.0677,False
EVT-00183,20250205,2,12,3,3,41.3,353.0,13.0261,43.4871,True
EVT-00184,20250206,2,12,1,2,53.2,163.0,22.4653,53.8719,False
EVT-00185,20250206,2,4,7,4,13.4,277.0,26.0095,56.1672,False
EVT-00186,20250206,2,15,7,2,94.7,813.0,2.1002,101.0536,True
EVT-00187,20250207,2,4,6,5,324.5,1951.0,13.4951,43.8764,True
EVT-00188,20250207,2,9,6,2,17.5,117.0,25.8583,57.0319,False
EVT-00189,20250207,2,13,6,9,81.5,1010.0,11.9205,44.1837,True
EVT-00190,20250207,2,10,2,1,9.2,114.0,9.57,53.8917,True
EVT-00191,20250207,2,9,5,10,1.3,79.0,26.949,56.095,False
EVT-00192,20250208,2,6,2,8,4.4,2.0,26.5145,55.9597,False
EVT-00193,20250208,2,12,2,4,10.5,339.0,26.2956,56.7137,False
EVT-00194,20250208,2,15,2,9,5.6,7.0,12.0659,43.8116,False
EVT-00195,20250208,2,12,2,1,18.0,45.0,12.2106,44.1931,False
EVT-00196,20250208,2,2,3,8,31.4,306.0,29.7763,32.5968,True
EVT-00197,20250208,2,11,2,5,12.8,861.0,26.1506,55.5851,False
EVT-00198,20250209,2,6,1,3,263.1,1123.0,12.9039,42.8864,True
EVT-00199,20250211,2,8,5,7,35.8,602.0,13.0677,43.3534,True
EVT-00200,20250211,2,6,1,4,38.4,44.0,12.7216,43.6814,True
EVT-00201,20250212,2,1,4,4,1.2,37.0,29.5188,32.5615,True
EVT-00202,20250212,2,14,7,6,11.0,115.0,33.3686,50.333,False
EVT-00203,20250213,2,13,8,8,8.8,89.0,12.8798,43.4988,False
EVT-00204,20250213,2,2,7,9,49.7,19.0,31.2497,33.106,False
EVT-00205,20250213,2,13,3,5,56.1,9.0,29.7573,31.7381,False
EVT-00206,20250214,2,1,5,6,101.9,48.0,26.6519,56.6438,False
EVT-00207,20250214,2,7,5,10,1.0,17.0,17.7329,105.9697,False
EVT-00208,20250214,2,3,2,2,47.9,4628.0,12.6194,43.3453,True
EVT-00209,20250216,2,2,8,9,82.4,137.0,26.2998,56.8686,True
EVT-00210,20250217,2,6,8,4,72.1,1855.0,-33.9287,18.8752,True
EVT-00211,20250217,2,2,6,8,3.8,132.0,30.9855,32.6254,False
EVT-00212,20250219,2,5,5,2,990.0,6524.0,31.0568,116.9946,True
EVT-00213,20250219,2,10,8,4,19.1,105.0,12.6967,43.9593,False
EVT-00214,20250222,2,10,8,4,2.2,222.0,-34.9845,19.141,True
EVT-00215,20250222,2,11,7,5,2.9,165.0,12.4606,43.8204,False
EVT-00216,20250223,2,4,6,6,8.8,46.0,-34.1947,17.8519,False
EVT-00217,20250224,2,3,1,1,30.6,157.0,23.8005,95.0148,True
EVT-00218,20250224,2,14,1,9,1.2,41.0,27.4373,57.2991,False
EVT-00219,20250225,2,6,1,6,1.1,342.0,23.1817,46.1442,True
EVT-00220,20250226,2,7,2,8,2.1,44.0,29.2972,105.5274,False
EVT-00221,20250226,2,7,6,7,12.3,441.0,27.4391,57.2108,True
EVT-00222,20250226,2,10,7,4,1.8,91.0,26.6476,112.0617,False
EVT-00223,20250226,2,8,4,7,104.5,587.0,31.2339,31.7073,True
EVT-00224,20250227,2,12,3,2,17.2,30.0,13.5584,42.3022,False
EVT-00225,20250227,2,2,6,3,1.7,270.0,27.1088,55.55,False
EVT-00226,20250228,2,3,2,10,5.8,713.0,29.9716,31.3042,True
EVT-00227,20250301,2,7,5,5,0.8,82.0,13.5566,43.3741,False
EVT-00228,20250303,2,5,7,7,1.8,5.0,26.7375,55.7596,False
EVT-00229,20250304,2,4,6,8,20.0,270.0,26.9006,56.8869,False
EVT-00230,20250304,2,6,7,5,43.2,32.0,25.501,56.1215,False
EVT-00231,20250304,2,1,2,5,4.3,88.0,12.6831,43.4153,True
EVT-00232,20250305,2,5,3,10,15.4,597.0,27.4745,56.8484,True
EVT-00233,20250306,2,9,7,2,13.3,1509.0,30.8991,32.4921,True
EVT-00234,20250307,2,13,3,9,21.7,51.0,30.4081,32.0654,False
EVT-00235,20250308,2,2,7,5,20.8,128.0,25.5984,102.4971,True
EVT-00236,20250308,2,13,7,3,93.7,11.0,29.7742,33.0815,True
EVT-00237,20250309,2,3,3,6,4.6,121.0,29.6143,31.3327,False
EVT-00238,20250309,2,7,2,1,244.0,696.0,12.2583,41.7416,True
EVT-00239,20250310,2,12,6,8,0.9,0.0,12.4315,42.6138,False
EVT-00240,20250310,2,7,1,8,2.3,67.0,13.3769,42.5373,False
EVT-00241,20250311,2,12,4,5,83.3,435.0,11.981,43.1978,True
EVT-00242,20250311,2,13,1,9,285.1,1572.0,27.0812,56.0941,True
EVT-00243,20250311,2,1,6,9,26.0,274.0,26.8803,56.6066,False
EVT-00244,20250311,2,11,5,3,1.8,43.0,29.956,31.6583,False
EVT-00245,20250312,2,11,8,1,58.5,640.0,26.0589,55.3822,True
EVT-00246,20250312,2,12,8,4,2.6,7.0,13.7863,42.4514,False
EVT-00247,20250312,2,15,1,4,45.2,341.0,-34.7535,18.8831,False
EVT-00248,20250312,2,10,5,10,7.8,402.0,1.5337,101.0446,False
EVT-00249,20250313,2,15,8,8,1.8,79.0,12.5749,43.4533,False
EVT-00250,20250314,2,13,7,1,0.2,1.0,27.1726,56.9978,False
EVT-00251,20250315,2,7,5,9,16.1,30.0,2.3553,102.1637,True
EVT-00252,20250315,2,14,4,2,18.0,1848.0,28.5895,119.2122,True
EVT-00253,20250315,2,9,7,4,28.3,72.0,12.825,43.1306,False
EVT-00254,20250316,2,9,6,9,6.4,38.0,30.4521,31.9822,False
EVT-00255,20250316,2,2,5,6,1.4,835.0,30.7925,31.81,True
EVT-00256,20250316,2,13,8,5,308.8,3984.0,-35.2277,17.8292,True
EVT-00257,20250318,2,3,3,8,4.7,23.0,26.7209,55.5096,False
EVT-00258,20250318,2,15,7,2,113.3,726.0,26.6611,56.736,True
EVT-00259,20250318,2,10,7,6,285.8,149.0,11.9258,43.9471,True
EVT-00260,20250319,2,3,5,9,18.2,375.0,3.1534,102.447,False
EVT-00261,20250319,2,1,6,9,46.6,100.0,25.6744,55.5706,False
EVT-00262,20250319,2,6,1,5,2.1,526.0,27.1415,56.4868,True
EVT-00263,20250320,2,4,8,1,0.4,65.0,27.1466,99.6484,False
EVT-00264,20250320,2,3,3,2,0.6,3.0,3.0302,101.2379,False
EVT-00265,20250321,2,1,2,5,15.6,95.0,-33.5851,18.6739,True
EVT-00266,20250321,2,14,6,8,10.8,252.0,17.8633,106.4354,False
EVT-00267,20250322,2,10,1,8,51.1,323.0,12.3294,43.1717,True
EVT-00268,20250322,2,12,8,10,34.3,961.0,25.595,56.6463,True
EVT-00269,20250323,2,5,1,2,13.9,37.0,26.9528,56.1621,False
EVT-00270,20250325,2,5,3,3,1.1,12.0,12.1019,44.1178,False
EVT-00271,20250325,2,10,4,7,60.1,216.0,26.8089,55.6378,False
EVT-00272,20250326,2,7,2,4,14.3,201.0,33.4077,75.4632,False
EVT-00273,20250327,2,6,7,4,8.2,92.0,12.8242,44.1153,False
EVT-00274,20250327,2,10,4,5,2.5,8.0,26.6319,55.4631,False
EVT-00275,20250327,2,10,4,7,17.5,305.0,27.384,56.4688,True
EVT-00276,20250327,2,9,4,3,25.7,355.0,20.9923,70.5681,False
EVT-00277,20250328,2,4,8,10,4.5,155.0,30.4416,65.8358,False
EVT-00278,20250328,2,15,3,4,4.8,91.0,26.9409,56.5871,False
EVT-00279,20250328,2,14,5,3,0.9,84.0,12.3593,43.0692,True
EVT-00280,20250328,2,7,3,2,22.8,108.0,12.9543,43.7114,False
EVT-00281,20250329,2,1,2,1,1.2,87.0,26.5858,55.9932,True
EVT-00282,20250329,2,8,2,5,4.3,228.0,26.1847,56.0458,False
EVT-00283,20250330,2,14,2,6,67.2,16.0,12.7582,42.3358,True
EVT-00284,20250330,2,12,6,3,112.3,92.0,23.5479,71.5125,True
EVT-00285,20250401,3,1,8,7,11.2,59.0,10.2706,68.3555,False
EVT-00286,20250401,3,4,2,4,17.9,33.0,14.9221,93.9686,False
EVT-00287,20250401,3,15,8,2,18.6,59.0,-33.8022,17.7251,False
EVT-00288,20250402,3,14,7,8,2.3,40.0,12.9046,42.7172,True
EVT-00289,20250402,3,12,3,4,110.5,206.0,13.6833,43.6202,True
EVT-00290,20250402,3,7,6,4,212.3,528.0,13.0739,43.6257,True
EVT-00291,20250403,3,14,1,2,15.3,56.0,24.051,75.5004,False
EVT-00292,20250404,3,15,3,6,46.1,15.0,26.014,56.2058,True
EVT-00293,20250404,3,14,6,10,22.8,193.0,27.3907,55.425,True
EVT-00294,20250404,3,7,1,2,314.9,207.0,11.9333,43.1808,True
EVT-00295,20250406,3,9,1,8,2.1,30.0,31.1732,31.3894,False
EVT-00296,20250407,3,8,1,6,28.8,308.0,11.912,43.0217,True
EVT-00297,20250407,3,15,1,8,6.5,2.0,25.8805,55.5464,False
EVT-00298,20250407,3,11,3,4,4.5,56.0,-35.3911,19.166,False
EVT-00299,20250408,3,13,5,5,11.3,63.0,19.0579,87.2094,False
EVT-00300,20250408,3,9,1,5,134.8,1583.0,28.7412,43.2544,True
EVT-00301,20250408,3,2,6,8,60.0,555.0,25.9629,56.9491,True
EVT-00302,20250408,3,4,6,7,6.8,54.0,26.8232,57.0973,False
EVT-00303,20250409,3,1,6,2,0.9,69.0,27.2901,55.7401,False
EVT-00304,20250409,3,13,3,3,15.2,16.0,25.4035,78.0692,False
EVT-00305,20250409,3,4,1,8,27.8,491.0,13.2599,43.4235,False
EVT-00306,20250409,3,10,1,4,25.7,220.0,32.8232,79.2696,True
EVT-00307,20250409,3,6,5,8,25.9,36.0,23.4516,97.3809,False
EVT-00308,20250410,3,11,7,1,24.1,622.0,26.4881,57.1608,True
EVT-00309,20250410,3,9,8,5,19.3,18.0,26.2009,55.8933,False
EVT-00310,20250410,3,9,1,8,4.3,128.0,29.9992,32.7231,False
EVT-00311,20250411,3,10,4,7,74.6,20.0,26.7633,56.4971,True
EVT-00312,20250412,3,4,3,7,11.9,2.0,12.6235,43.2296,False
EVT-00313,20250412,3,1,3,2,4.7,12.0,2.5443,101.0804,False
EVT-00314,20250412,3,13,7,8,60.4,641.0,17.6549,113.5075,True
EVT-00315,20250412,3,14,4,5,12.3,787.0,31.0251,31.6591,True
EVT-00316,20250413,3,11,4,9,4.2,82.0,12.6638,43.9345,False
EVT-00317,20250413,3,14,3,10,485.7,1470.0,-34.558,18.4534,True
EVT-00318,20250414,3,5,6,1,16.7,79.0,11.2787,104.7182,True
EVT-00319,20250414,3,5,5,3,11.0,1346.0,12.8345,43.0918,True
EVT-00320,20250414,3,10,8,6,1.6,33.0,13.7266,43.8343,False
EVT-00321,20250415,3,7,8,6,48.9,198.0,13.2998,42.6279,False
EVT-00322,20250416,3,9,7,8,127.3,855.0,13.6214,43.0017,True
EVT-00323,20250416,3,5,5,6,5.3,65.0,31.306,32.13,False
EVT-00324,20250416,3,10,7,3,6.2,12.0,30.0851,32.8316,True
EVT-00325,20250417,3,10,8,9,23.1,136.0,29.542,32.3655,True
EVT-00326,20250417,3,8,1,2,43.3,102.0,29.6543,31.735,False
EVT-00327,20250417,3,13,4,1,28.5,44.0,12.7236,43.7539,False
EVT-00328,20250418,3,2,3,4,124.7,42.0,13.1748,71.6581,True
EVT-00329,20250419,3,6,1,2,16.0,128.0,12.6722,42.3876,False
EVT-00330,20250419,3,3,6,2,15.3,26.0,30.3504,31.7021,False
EVT-00331,20250419,3,8,3,7,64.2,623.0,15.5134,64.5459,True
EVT-00332,20250421,3,11,3,4,119.6,548.0,11.8403,42.7102,False
EVT-00333,20250421,3,4,6,5,0.4,56.0,2.6895,100.7489,False
EVT-00334,20250423,3,7,7,5,3.1,53.0,11.8223,44.2595,True
EVT-00335,20250424,3,12,4,2,12.2,5.0,29.5799,32.8472,False
EVT-00336,20250424,3,12,5,4,3.0,24.0,10.9982,62.7155,False
EVT-00337,20250425,3,7,5,8,105.2,4058.0,26.1892,56.1582,True
EVT-00338,20250425,3,2,5,4,5.9,2.0,26.814,56.1888,False
EVT-00339,20250425,3,5,3,10,55.2,118.0,25.502,56.1149,True
EVT-00340,20250425,3,10,2,4,28.9,41.0,19.3705,105.4868,True
EVT-00341,20250426,3,2,7,6,1.3,124.0,19.8496,112.29,True
EVT-00342,20250427,3,7,6,10,0.1,116.0,12.1929,42.4679,False
EVT-00343,20250428,3,8,5,6,12.4,97.0,12.6105,42.8713,False
EVT-00344,20250429,3,14,4,8,1.1,8.0,10.2013,83.8804,False
EVT-00345,20250430,3,2,3,8,4.7,13.0,13.2185,43.334,False
EVT-00346,20250430,3,13,7,6,99.0,673.0,2.9769,100.9233,True
EVT-00347,20250430,3,12,6,3,13.9,730.0,12.0843,43.4869,True
EVT-00348,20250501,3,14,2,5,3.4,231.0,25.7504,56.2321,False
EVT-00349,20250501,3,13,3,8,112.9,109.0,29.7431,31.8093,True
EVT-00350,20250502,3,9,6,2,34.9,76.0,26.216,55.6483,True
EVT-00351,20250502,3,6,4,5,27.2,76.0,26.6566,104.1385,True
EVT-00352,20250503,3,2,7,3,2.0,2.0,-34.6358,18.8974,True
EVT-00353,20250503,3,12,3,2,75.6,917.0,30.3773,31.4277,True
EVT-00354,20250503,3,10,5,6,6.1,117.0,11.989,42.4559,True
EVT-00355,20250503,3,2,4,3,34.8,147.0,11.8032,43.6155,True
