route_key,week,vessel_type_key,conflict_phase_key,freight_rate_usd_day,war_risk_premium_pct,hull_insurance_pct_value,bunker_cost_usd_mt,transit_time_days,rerouting_extra_days
8,41,3,1,27753.0,0.05,0.264,594.0,7.4,0.0
8,41,4,1,76927.0,0.051,0.23,635.0,7.7,0.0
9,41,1,1,34487.0,0.048,0.249,640.0,8.6,0.0
9,41,2,1,24949.0,0.045,0.243,637.0,8.3,0.0
9,41,3,1,18778.0,0.053,0.249,637.0,7.9,0.0
9,41,4,1,46991.0,0.055,0.257,599.0,7.9,0.0
10,41,1,1,41415.0,0.051,0.25,657.0,7.3,0.0
10,41,2,1,28113.0,0.047,0.249,620.0,7.3,0.0
10,41,3,1,21594.0,0.047,0.245,631.0,8.6,0.0
10,41,4,1,52983.0,0.05,0.247,585.0,8.8,0.0
1,42,1,1,43786.0,0.054,0.267,611.0,2.0,0.0
1,42,2,1,30205.0,0.053,0.242,655.0,1.9,0.0
1,42,3,1,22598.0,0.053,0.241,595.0,2.1,0.0
1,42,4,1,61512.0,0.053,0.226,601.0,2.1,0.0
2,42,1,1,40013.0,0.046,0.23,647.0,1.9,0.0
2,42,2,1,27840.0,0.048,0.27,621.0,2.1,0.0
2,42,3,1,21940.0,0.052,0.225,587.0,1.9,0.0
2,42,4,1,58243.0,0.046,0.229,649.0,2.2,0.0
3,42,1,1,47850.0,0.054,0.264,588.0,1.1,0.0
3,42,2,1,34983.0,0.045,0.243,651.0,1.1,0.0
3,42,3,1,23533.0,0.049,0.247,623.0,1.0,0.0
3,42,4,1,60069.0,0.049,0.253,585.0,0.9,0.0
4,42,1,1,28418.0,0.053,0.261,611.0,1.1,0.0
4,42,2,1,21300.0,0.049,0.256,652.0,1.0,0.0
4,42,3,1,16124.0,0.051,0.275,605.0,1.1,0.0
4,42,4,1,37103.0,0.052,0.235,606.0,1.1,0.0
5,42,1,1,65017.0,0.049,0.234,637.0,13.2,0.0
5,42,2,1,42587.0,0.051,0.239,645.0,13.4,0.0
5,42,3,1,31680.0,0.046,0.271,596.0,14.0,0.0
5,42,4,1,85843.0,0.05,0.258,614.0,14.8,0.0
6,42,1,1,51132.0,0.045,0.24,650.0,8.8,0.0
6,42,2,1,37733.0,0.053,0.266,597.0,7.9,0.0
6,42,3,1,27248.0,0.049,0.237,601.0,7.6,0.0
6,42,4,1,64268.0,0.047,0.27,600.0,8.4,0.0
7,42,1,1,35164.0,0.048,0.263,594.0,8.2,0.0
7,42,2,1,28578.0,0.054,0.252,587.0,7.7,0.0
7,42,3,1,18041.0,0.053,0.274,631.0,8.5,0.0
7,42,4,1,50841.0,0.045,0.25,587.0,7.2,0.0
8,42,1,1,58348.0,0.052,0.231,622.0,7.9,0.0
8,42,2,1,40460.0,0.051,0.271,585.0,8.7,0.0
8,42,3,1,28275.0,0.05,0.267,627.0,7.2,0.0
8,42,4,1,71119.0,0.046,0.246,591.0,7.6,0.0
9,42,1,1,33128.0,0.046,0.248,617.0,8.5,0.0
9,42,2,1,22773.0,0.047,0.238,616.0,8.8,0.0
9,42,3,1,18024.0,0.054,0.256,602.0,8.5,0.0
9,42,4,1,46174.0,0.048,0.259,623.0,7.6,0.0
10,42,1,1,36987.0,0.053,0.253,652.0,8.8,0.0
10,42,2,1,26320.0,0.054,0.27,625.0,7.3,0.0
10,42,3,1,20260.0,0.051,0.249,657.0,8.2,0.0
10,42,4,1,50695.0,0.055,0.254,649.0,8.4,0.0
1,43,1,1,41597.0,0.05,0.265,612.0,1.8,0.0
1,43,2,1,33580.0,0.047,0.263,657.0,1.8,0.0
1,43,3,1,22346.0,0.052,0.268,595.0,1.9,0.0
1,43,4,1,54353.0,0.052,0.273,627.0,1.8,0.0
2,43,1,1,43002.0,0.053,0.258,632.0,2.2,0.0
2,43,2,1,27693.0,0.052,0.226,648.0,2.0,0.0
2,43,3,1,20289.0,0.048,0.27,628.0,2.1,0.0
2,43,4,1,52817.0,0.053,0.268,612.0,1.9,0.0
3,43,1,1,45644.0,0.044,0.262,602.0,1.1,0.0
3,43,2,1,33487.0,0.052,0.274,653.0,1.1,0.0
3,43,3,1,24352.0,0.047,0.239,592.0,1.0,0.0
3,43,4,1,57794.0,0.046,0.266,609.0,1.1,0.0
4,43,1,1,31338.0,0.046,0.255,647.0,1.1,0.0
4,43,2,1,19520.0,0.052,0.237,608.0,1.1,0.0
4,43,3,1,14267.0,0.051,0.241,604.0,1.1,0.0
4,43,4,1,41533.0,0.045,0.266,613.0,1.1,0.0
5,43,1,1,70076.0,0.048,0.258,644.0,13.7,0.0
5,43,2,1,42260.0,0.052,0.267,598.0,15.1,0.0
5,43,3,1,34416.0,0.054,0.248,585.0,13.9,0.0
5,43,4,1,81522.0,0.049,0.272,631.0,15.0,0.0
6,43,1,1,52669.0,0.052,0.24,618.0,8.4,0.0
6,43,2,1,34343.0,0.049,0.24,634.0,8.2,0.0
6,43,3,1,26716.0,0.046,0.232,630.0,7.5,0.0
6,43,4,1,66213.0,0.051,0.258,624.0,7.8,0.0
7,43,1,1,39005.0,0.045,0.26,650.0,7.2,0.0
7,43,2,1,27752.0,0.056,0.25,635.0,8.4,0.0
7,43,3,1,19010.0,0.051,0.271,630.0,7.6,0.0
7,43,4,1,49648.0,0.052,0.226,657.0,8.2,0.0
8,43,1,1,55615.0,0.044,0.25,602.0,8.2,0.0
8,43,2,1,37792.0,0.05,0.271,632.0,7.2,0.0
8,43,3,1,27799.0,0.046,0.234,608.0,7.7,0.0
8,43,4,1,71457.0,0.051,0.259,651.0,7.3,0.0
9,43,1,1,33145.0,0.053,0.241,644.0,8.3,0.0
9,43,2,1,22998.0,0.053,0.239,618.0,8.7,0.0
9,43,3,1,18165.0,0.044,0.273,603.0,8.1,0.0
9,43,4,1,46723.0,0.051,0.23,611.0,8.7,0.0
10,43,1,1,42301.0,0.053,0.272,620.0,8.7,0.0
10,43,2,1,28539.0,0.052,0.251,610.0,8.7,0.0
10,43,3,1,20824.0,0.045,0.259,603.0,8.1,0.0
10,43,4,1,54269.0,0.048,0.244,629.0,8.6,0.0
1,44,1,1,44015.0,0.046,0.27,610.0,2.0,0.0
1,44,2,1,31401.0,0.047,0.257,655.0,2.2,0.0
1,44,3,1,20828.0,0.045,0.259,639.0,2.1,0.0
1,44,4,1,59665.0,0.049,0.248,640.0,2.1,0.0
2,44,1,1,40672.0,0.045,0.244,594.0,1.9,0.0
2,44,2,1,28977.0,0.052,0.254,584.0,2.2,0.0
2,44,3,1,22168.0,0.05,0.274,642.0,2.0,0.0
2,44,4,1,54158.0,0.045,0.25,627.0,1.9,0.0
3,44,1,1,46742.0,0.053,0.245,590.0,0.9,0.0
3,44,2,1,34974.0,0.046,0.252,601.0,1.0,0.0
3,44,3,1,22477.0,0.053,0.227,642.0,1.1,0.0
3,44,4,1,58278.0,0.051,0.244,632.0,0.9,0.0
4,44,1,1,29833.0,0.044,0.233,648.0,1.0,0.0
4,44,2,1,22491.0,0.053,0.227,609.0,1.0,0.0
4,44,3,1,15155.0,0.051,0.248,653.0,0.9,0.0
4,44,4,1,41899.0,0.052,0.226,657.0,1.0,0.0
5,44,1,1,65245.0,0.054,0.251,640.0,14.2,0.0
5,44,2,1,45258.0,0.048,0.248,584.0,15.3,0.0
5,44,3,1,32460.0,0.054,0.225,587.0,12.9,0.0
5,44,4,1,84711.0,0.046,0.237,590.0,13.6,0.0
6,44,1,1,49013.0,0.055,0.249,622.0,8.1,0.0
6,44,2,1,36343.0,0.045,0.243,649.0,7.6,0.0
6,44,3,1,26179.0,0.055,0.275,654.0,7.7,0.0
6,44,4,1,64405.0,0.045,0.232,642.0,7.6,0.0
7,44,1,1,40606.0,0.048,0.251,609.0,7.2,0.0
7,44,2,1,24620.0,0.044,0.228,625.0,8.5,0.0
7,44,3,1,20235.0,0.053,0.227,639.0,7.7,0.0
7,44,4,1,51714.0,0.055,0.272,624.0,7.9,0.0
8,44,1,1,54375.0,0.056,0.231,591.0,8.5,0.0
8,44,2,1,36589.0,0.054,0.241,602.0,7.8,0.0
8,44,3,1,29239.0,0.044,0.261,587.0,8.3,0.0
8,44,4,1,69426.0,0.053,0.244,600.0,7.4,0.0
9,44,1,1,32965.0,0.056,0.249,593.0,8.7,0.0
9,44,2,1,25521.0,0.055,0.242,595.0,7.7,0.0
9,44,3,1,16727.0,0.048,0.269,632.0,7.3,0.0
9,44,4,1,42382.0,0.046,0.259,611.0,7.7,0.0
10,44,1,1,41993.0,0.053,0.233,629.0,8.6,0.0
10,44,2,1,28502.0,0.056,0.235,617.0,8.4,0.0
10,44,3,1,20587.0,0.051,0.271,583.0,8.4,0.0
10,44,4,1,52867.0,0.052,0.264,655.0,8.2,0.0
1,45,1,1,47584.0,0.045,0.257,587.0,2.0,0.0
1,45,2,1,33733.0,0.051,0.264,633.0,1.9,0.0
1,45,3,1,24127.0,0.045,0.275,654.0,2.1,0.0
1,45,4,1,56270.0,0.051,0.273,601.0,2.0,0.0
2,45,1,1,39145.0,0.046,0.246,608.0,2.0,0.0
2,45,2,1,27931.0,0.051,0.254,628.0,2.0,0.0
2,45,3,1,22408.0,0.055,0.24,644.0,1.9,0.0
2,45,4,1,54728.0,0.054,0.259,586.0,2.0,0.0
3,45,1,1,46879.0,0.051,0.26,621.0,0.9,0.0
3,45,2,1,35558.0,0.052,0.268,599.0,1.1,0.0
3,45,3,1,23018.0,0.044,0.256,635.0,1.0,0.0
3,45,4,1,62031.0,0.045,0.245,636.0,1.0,0.0
4,45,1,1,29154.0,0.046,0.231,606.0,0.9,0.0
4,45,2,1,21241.0,0.049,0.241,643.0,1.0,0.0
4,45,3,1,14692.0,0.045,0.253,598.0,1.0,0.0
4,45,4,1,37743.0,0.044,0.246,600.0,1.1,0.0
5,45,1,1,61290.0,0.052,0.245,628.0,12.8,0.0
5,45,2,1,47745.0,0.047,0.266,592.0,13.7,0.0
5,45,3,1,32402.0,0.047,0.241,585.0,14.0,0.0
5,45,4,1,89015.0,0.047,0.251,623.0,14.2,0.0
6,45,1,1,53119.0,0.045,0.227,646.0,8.4,0.0
6,45,2,1,34732.0,0.054,0.273,654.0,7.6,0.0
6,45,3,1,25773.0,0.048,0.237,633.0,7.9,0.0
6,45,4,1,68146.0,0.046,0.24,631.0,7.6,0.0
7,45,1,1,36868.0,0.047,0.228,632.0,7.4,0.0
7,45,2,1,27977.0,0.055,0.233,613.0,7.9,0.0
7,45,3,1,18785.0,0.045,0.257,614.0,8.4,0.0
7,45,4,1,46564.0,0.053,0.243,621.0,7.2,0.0
8,45,1,1,53874.0,0.045,0.264,618.0,7.9,0.0
8,45,2,1,40653.0,0.053,0.265,605.0,7.7,0.0
8,45,3,1,28522.0,0.046,0.273,634.0,8.5,0.0
8,45,4,1,75431.0,0.053,0.255,612.0,7.3,0.0
9,45,1,1,36285.0,0.048,0.249,593.0,8.4,0.0
9,45,2,1,25080.0,0.053,0.263,648.0,8.7,0.0
9,45,3,1,18297.0,0.054,0.263,626.0,8.5,0.0
9,45,4,1,44604.0,0.046,0.271,652.0,8.4,0.0
10,45,1,1,37943.0,0.046,0.232,604.0,7.8,0.0
10,45,2,1,27442.0,0.048,0.273,587.0,7.8,0.0
10,45,3,1,18541.0,0.053,0.265,611.0,8.3,0.0
10,45,4,1,50401.0,0.046,0.256,628.0,8.1,0.0
1,46,1,1,41779.0,0.049,0.27,650.0,1.9,0.0
1,46,2,1,33488.0,0.054,0.235,592.0,2.1,0.0
1,46,3,1,23858.0,0.046,0.236,596.0,2.0,0.0
1,46,4,1,58297.0,0.055,0.269,588.0,1.8,0.0
2,46,1,1,43091.0,0.046,0.244,626.0,1.9,0.0
2,46,2,1,27490.0,0.052,0.24,647.0,1.9,0.0
2,46,3,1,22228.0,0.049,0.235,618.0,1.9,0.0
2,46,4,1,58735.0,0.049,0.241,656.0,2.1,0.0
3,46,1,1,49181.0,0.056,0.258,651.0,1.0,0.0
3,46,2,1,33140.0,0.055,0.262,588.0,1.0,0.0
3,46,3,1,24321.0,0.053,0.272,648.0,1.1,0.0
3,46,4,1,58604.0,0.048,0.233,587.0,1.0,0.0
4,46,1,1,31663.0,0.052,0.253,626.0,1.0,0.0
4,46,2,1,19636.0,0.052,0.252,613.0,0.9,0.0
4,46,3,1,15334.0,0.047,0.241,606.0,0.9,0.0
4,46,4,1,40745.0,0.051,0.27,657.0,1.0,0.0
5,46,1,1,69142.0,0.051,0.243,618.0,13.4,0.0
5,46,2,1,47175.0,0.052,0.262,638.0,13.2,0.0
5,46,3,1,32631.0,0.048,0.226,626.0,13.9,0.0
5,46,4,1,83881.0,0.051,0.253,648.0,14.5,0.0
6,46,1,1,49277.0,0.052,0.256,623.0,8.2,0.0
6,46,2,1,35334.0,0.048,0.253,595.0,8.4,0.0
6,46,3,1,25680.0,0.045,0.254,640.0,7.6,0.0
6,46,4,1,65045.0,0.054,0.262,624.0,7.9,0.0
7,46,1,1,39872.0,0.049,0.231,601.0,7.7,0.0
7,46,2,1,27771.0,0.05,0.249,645.0,8.2,0.0
7,46,3,1,17643.0,0.053,0.272,594.0,8.7,0.0
7,46,4,1,47697.0,0.049,0.237,639.0,7.9,0.0
8,46,1,1,55891.0,0.054,0.227,588.0,7.3,0.0
8,46,2,1,39784.0,0.049,0.258,597.0,7.7,0.0
8,46,3,1,25548.0,0.047,0.236,634.0,7.7,0.0
8,46,4,1,75157.0,0.053,0.25,632.0,7.9,0.0
9,46,1,1,35015.0,0.046,0.233,608.0,7.3,0.0
9,46,2,1,23160.0,0.055,0.258,639.0,7.7,0.0
9,46,3,1,17770.0,0.056,0.262,597.0,8.0,0.0
9,46,4,1,46255.0,0.046,0.246,656.0,8.6,0.0
10,46,1,1,38657.0,0.053,0.225,604.0,7.9,0.0
10,46,2,1,29885.0,0.05,0.248,604.0,8.1,0.0
10,46,3,1,19101.0,0.054,0.25,634.0,7.4,0.0
10,46,4,1,55980.0,0.049,0.263,646.0,7.9,0.0
1,47,1,1,45531.0,0.051,0.261,605.0,2.0,0.0
1,47,2,1,33028.0,0.055,0.243,590.0,2.2,0.0
1,47,3,1,21978.0,0.048,0.238,610.0,1.9,0.0
1,47,4,1,54244.0,0.045,0.256,624.0,1.8,0.0
2,47,1,1,42706.0,0.045,0.241,593.0,2.1,0.0
2,47,2,1,27939.0,0.054,0.27,613.0,2.1,0.0
2,47,3,1,21065.0,0.053,0.236,610.0,2.2,0.0
2,47,4,1,56194.0,0.046,0.275,609.0,1.8,0.0
3,47,1,1,44826.0,0.048,0.264,600.0,0.9,0.0
3,47,2,1,35041.0,0.05,0.236,645.0,1.0,0.0
3,47,3,1,24719.0,0.054,0.228,655.0,1.1,0.0
3,47,4,1,65917.0,0.048,0.232,613.0,1.1,0.0
4,47,1,1,31878.0,0.054,0.241,644.0,1.0,0.0
4,47,2,1,22085.0,0.055,0.274,609.0,1.0,0.0
4,47,3,1,14705.0,0.045,0.261,651.0,0.9,0.0
4,47,4,1,39336.0,0.048,0.268,614.0,1.1,0.0
5,47,1,1,68172.0,0.049,0.234,638.0,14.4,0.0
5,47,2,1,42436.0,0.046,0.239,656.0,15.1,0.0
5,47,3,1,34129.0,0.051,0.234,623.0,13.8,0.0
5,47,4,1,83091.0,0.047,0.243,642.0,13.2,0.0
6,47,1,1,52515.0,0.048,0.273,650.0,8.5,0.0
6,47,2,1,39160.0,0.049,0.249,621.0,8.7,0.0
6,47,3,1,24949.0,0.049,0.232,587.0,8.6,0.0
6,47,4,1,68244.0,0.048,0.233,632.0,7.8,0.0
7,47,1,1,35700.0,0.053,0.253,586.0,7.6,0.0
7,47,2,1,25950.0,0.048,0.229,629.0,7.9,0.0
7,47,3,1,17623.0,0.053,0.264,586.0,7.5,0.0
7,47,4,1,51233.0,0.056,0.265,584.0,8.1,0.0
8,47,1,1,54627.0,0.056,0.236,589.0,7.6,0.0
8,47,2,1,35437.0,0.044,0.231,643.0,7.3,0.0
8,47,3,1,27140.0,0.05,0.227,631.0,8.2,0.0
8,47,4,1,68025.0,0.049,0.267,612.0,7.6,0.0
9,47,1,1,35350.0,0.049,0.271,656.0,8.7,0.0
9,47,2,1,23901.0,0.046,0.24,609.0,7.9,0.0
9,47,3,1,17757.0,0.05,0.267,611.0,7.8,0.0
9,47,4,1,42658.0,0.047,0.247,610.0,8.2,0.0
10,47,1,1,41878.0,0.054,0.253,640.0,7.3,0.0
10,47,2,1,28331.0,0.048,0.271,600.0,7.9,0.0
10,47,3,1,19848.0,0.044,0.255,656.0,7.3,0.0
10,47,4,1,49339.0,0.044,0.265,645.0,7.8,0.0
1,48,1,1,45459.0,0.044,0.266,653.0,2.0,0.0
1,48,2,1,32700.0,0.051,0.237,609.0,1.9,0.0
1,48,3,1,21225.0,0.047,0.245,630.0,1.9,0.0
1,48,4,1,54212.0,0.054,0.225,626.0,2.1,0.0
2,48,1,1,39918.0,0.048,0.247,619.0,2.0,0.0
2,48,2,1,30744.0,0.051,0.255,639.0,2.0,0.0
2,48,3,1,19427.0,0.046,0.259,597.0,1.9,0.0
2,48,4,1,52261.0,0.049,0.246,646.0,2.2,0.0
3,48,1,1,48243.0,0.047,0.238,585.0,1.0,0.0
3,48,2,1,31798.0,0.052,0.237,593.0,0.9,0.0
3,48,3,1,23055.0,0.053,0.23,627.0,1.0,0.0
3,48,4,1,58776.0,0.052,0.23,589.0,1.1,0.0
4,48,1,1,30105.0,0.052,0.243,631.0,1.1,0.0
4,48,2,1,19808.0,0.054,0.233,649.0,1.1,0.0
4,48,3,1,13950.0,0.053,0.265,603.0,1.0,0.0
4,48,4,1,36691.0,0.053,0.264,599.0,0.9,0.0
5,48,1,1,69022.0,0.055,0.272,637.0,13.0,0.0
5,48,2,1,42448.0,0.049,0.233,592.0,12.8,0.0
5,48,3,1,33532.0,0.047,0.23,586.0,15.0,0.0
5,48,4,1,80084.0,0.045,0.258,636.0,13.8,0.0
6,48,1,1,49677.0,0.049,0.269,624.0,8.7,0.0
6,48,2,1,33914.0,0.052,0.237,616.0,7.3,0.0
6,48,3,1,27808.0,0.046,0.255,624.0,7.9,0.0
6,48,4,1,65488.0,0.055,0.272,635.0,7.7,0.0
7,48,1,1,38093.0,0.054,0.234,589.0,8.7,0.0
7,48,2,1,28108.0,0.049,0.256,612.0,7.9,0.0
7,48,3,1,19320.0,0.052,0.236,641.0,8.4,0.0
7,48,4,1,46517.0,0.047,0.254,588.0,8.4,0.0
8,48,1,1,58708.0,0.055,0.23,650.0,7.5,0.0
8,48,2,1,36013.0,0.054,0.245,608.0,8.6,0.0
8,48,3,1,26238.0,0.046,0.23,627.0,7.5,0.0
8,48,4,1,75216.0,0.05,0.27,620.0,8.5,0.0
9,48,1,1,35808.0,0.045,0.232,603.0,7.5,0.0
9,48,2,1,26272.0,0.051,0.239,655.0,8.5,0.0
9,48,3,1,16639.0,0.05,0.238,588.0,7.4,0.0
9,48,4,1,45829.0,0.05,0.264,608.0,8.0,0.0
10,48,1,1,43073.0,0.048,0.253,606.0,8.4,0.0
10,48,2,1,26470.0,0.055,0.231,603.0,8.4,0.0
10,48,3,1,20723.0,0.046,0.243,618.0,8.2,0.0
10,48,4,1,54181.0,0.056,0.226,589.0,8.3,0.0
1,49,1,1,48384.0,0.053,0.239,590.0,1.9,0.0
1,49,2,1,31735.0,0.051,0.271,584.0,1.8,0.0
1,49,3,1,20729.0,0.05,0.272,623.0,2.1,0.0
1,49,4,1,61700.0,0.052,0.273,649.0,1.8,0.0
2,49,1,1,41914.0,0.049,0.232,619.0,2.2,0.0
2,49,2,1,27530.0,0.049,0.243,621.0,2.1,0.0
2,49,3,1,22326.0,0.053,0.236,617.0,2.0,0.0
2,49,4,1,52022.0,0.049,0.261,642.0,2.1,0.0
3,49,1,1,45082.0,0.044,0.269,603.0,1.1,0.0
3,49,2,1,35119.0,0.045,0.231,635.0,1.0,0.0
3,49,3,1,22893.0,0.054,0.265,597.0,0.9,0.0
3,49,4,1,60685.0,0.05,0.258,603.0,1.1,0.0
4,49,1,1,31613.0,0.044,0.228,631.0,1.0,0.0
4,49,2,1,21952.0,0.054,0.271,589.0,1.0,0.0
4,49,3,1,14784.0,0.051,0.235,604.0,0.9,0.0
4,49,4,1,38725.0,0.049,0.262,607.0,1.0,0.0
5,49,1,1,69207.0,0.055,0.24,584.0,15.3,0.0
5,49,2,1,47753.0,0.053,0.263,626.0,13.8,0.0
5,49,3,1,32489.0,0.055,0.27,647.0,14.9,0.0
5,49,4,1,87386.0,0.05,0.252,611.0,14.1,0.0
6,49,1,1,51890.0,0.054,0.258,607.0,8.3,0.0
6,49,2,1,35249.0,0.05,0.273,644.0,7.9,0.0
6,49,3,1,24185.0,0.047,0.26,606.0,8.6,0.0
6,49,4,1,62448.0,0.056,0.273,604.0,7.5,0.0
7,49,1,1,37289.0,0.046,0.257,645.0,7.5,0.0
7,49,2,1,26487.0,0.044,0.254,627.0,8.0,0.0
7,49,3,1,17677.0,0.055,0.226,645.0,8.2,0.0
7,49,4,1,51535.0,0.049,0.265,633.0,8.2,0.0
8,49,1,1,52225.0,0.046,0.236,645.0,8.4,0.0
8,49,2,1,40878.0,0.054,0.275,610.0,7.8,0.0
8,49,3,1,25353.0,0.054,0.274,610.0,8.3,0.0
8,49,4,1,71968.0,0.045,0.246,598.0,7.6,0.0
9,49,1,1,35554.0,0.046,0.27,627.0,7.9,0.0
9,49,2,1,23542.0,0.046,0.227,657.0,8.1,0.0
9,49,3,1,16941.0,0.044,0.228,607.0,8.1,0.0
9,49,4,1,45894.0,0.047,0.268,613.0,8.8,0.0
10,49,1,1,38624.0,0.046,0.244,634.0,7.7,0.0
10,49,2,1,26331.0,0.055,0.238,609.0,8.2,0.0
10,49,3,1,20546.0,0.044,0.233,628.0,7.4,0.0
10,49,4,1,49827.0,0.053,0.256,602.0,8.3,0.0
1,50,1,1,44481.0,0.045,0.241,590.0,1.9,0.0
1,50,2,1,32210.0,0.05,0.263,589.0,2.0,0.0
1,50,3,1,23803.0,0.056,0.233,621.0,2.1,0.0
1,50,4,1,58109.0,0.051,0.252,638.0,2.1,0.0
2,50,1,1,42062.0,0.047,0.25,623.0,2.1,0.0
2,50,2,1,31363.0,0.052,0.27,652.0,2.1,0.0
2,50,3,1,19542.0,0.048,0.235,624.0,1.8,0.0
2,50,4,1,54312.0,0.048,0.273,601.0,2.1,0.0
3,50,1,1,50981.0,0.049,0.27,651.0,1.0,0.0
3,50,2,1,35396.0,0.055,0.236,601.0,1.0,0.0
3,50,3,1,23628.0,0.056,0.242,644.0,1.0,0.0
3,50,4,1,64470.0,0.045,0.243,633.0,0.9,0.0
4,50,1,1,28496.0,0.047,0.259,610.0,0.9,0.0
4,50,2,1,22077.0,0.051,0.246,622.0,1.1,0.0
4,50,3,1,15020.0,0.054,0.259,603.0,1.0,0.0
4,50,4,1,39868.0,0.051,0.246,619.0,1.1,0.0
5,50,1,1,62807.0,0.055,0.247,622.0,14.4,0.0
5,50,2,1,44287.0,0.049,0.246,653.0,13.5,0.0
5,50,3,1,31476.0,0.045,0.256,625.0,15.3,0.0
5,50,4,1,83458.0,0.055,0.234,608.0,14.6,0.0
6,50,1,1,54278.0,0.052,0.228,598.0,8.6,0.0
6,50,2,1,36134.0,0.053,0.27,613.0,7.8,0.0
6,50,3,1,24382.0,0.047,0.241,630.0,8.3,0.0
6,50,4,1,72182.0,0.054,0.26,636.0,7.2,0.0
7,50,1,1,40776.0,0.055,0.268,636.0,8.2,0.0
7,50,2,1,24806.0,0.055,0.239,633.0,8.1,0.0
7,50,3,1,20091.0,0.046,0.231,615.0,7.9,0.0
7,50,4,1,50043.0,0.048,0.244,609.0,7.9,0.0
8,50,1,1,57638.0,0.044,0.259,610.0,7.2,0.0
8,50,2,1,41351.0,0.052,0.235,636.0,8.1,0.0
8,50,3,1,25782.0,0.046,0.245,614.0,8.2,0.0
8,50,4,1,67328.0,0.045,0.247,656.0,7.9,0.0
9,50,1,1,32369.0,0.052,0.27,623.0,8.6,0.0
9,50,2,1,25449.0,0.051,0.234,649.0,8.3,0.0
9,50,3,1,18454.0,0.045,0.275,645.0,8.8,0.0
9,50,4,1,46660.0,0.048,0.273,645.0,7.3,0.0
10,50,1,1,37864.0,0.047,0.244,655.0,7.6,0.0
10,50,2,1,26288.0,0.044,0.227,584.0,8.3,0.0
10,50,3,1,21063.0,0.047,0.227,624.0,7.7,0.0
10,50,4,1,48144.0,0.055,0.269,622.0,7.5,0.0
1,51,1,1,48479.0,0.051,0.258,605.0,2.1,0.0
1,51,2,1,29452.0,0.05,0.246,637.0,2.0,0.0
1,51,3,1,23103.0,0.045,0.225,630.0,1.8,0.0
1,51,4,1,57817.0,0.05,0.25,646.0,2.1,0.0
2,51,1,1,42093.0,0.051,0.268,592.0,1.8,0.0
2,51,2,1,31108.0,0.048,0.251,653.0,1.9,0.0
2,51,3,1,21746.0,0.054,0.241,606.0,2.0,0.0
2,51,4,1,55085.0,0.045,0.258,614.0,1.9,0.0
3,51,1,1,46551.0,0.045,0.241,591.0,1.0,0.0
3,51,2,1,33464.0,0.046,0.24,586.0,1.0,0.0
3,51,3,1,22791.0,0.045,0.255,647.0,1.1,0.0
3,51,4,1,63025.0,0.045,0.254,587.0,1.1,0.0
4,51,1,1,28395.0,0.044,0.249,622.0,0.9,0.0
4,51,2,1,20074.0,0.049,0.231,613.0,1.0,0.0
4,51,3,1,14632.0,0.051,0.264,617.0,1.0,0.0
4,51,4,1,41124.0,0.051,0.27,654.0,1.0,0.0
5,51,1,1,68494.0,0.055,0.262,646.0,12.8,0.0
5,51,2,1,48092.0,0.049,0.271,647.0,15.2,0.0
